koi_dikco_msky,koi_dicco_msky,koi_max_mult_ev,koi_fwm_srao,koi_fwm_sdeco,koi_dikco_mra,koi_model_snr,koi_dikco_mdec,koi_dicco_mdec,koi_ror,koi_dicco_mra,koi_prad,koi_fpflag_ss,koi_dor,koi_fpflag_co,koi_max_sngle_ev,koi_period,koi_fwm_prao,koi_num_transits,koi_ldm_coeff1,koi_incl,koi_fwm_stat_sig,koi_depth,koi_fwm_pdeco,koi_ldm_coeff2,koi_bin_oedp_sig,koi_count,koi_fpflag_nt,koi_teq,koi_insol,koi_impact,koi_steff,koi_fwm_sra,koi_disposition_num
0.177,0.96,165.29753,-0.395,0.53,0.071,148.1,0.162,-0.6,0.103288,0.75,10.68,1,60.32,0,40.98037,32.50456309,-0.005,34.0,0.3071,89.12,0.0,7589.6,0.0029,0.3058,0.658,1,0,591.0,28.8,0.927,6132.0,19.669748,0
0.96,1.12,24.474972,2.73,-2.69,0.23,108.8,-0.93,-1.09,0.021006,0.25,1.4,1,2.5221,1,4.1053076,1.332560589,-0.000538,1004.0,0.6414,89.8,0.0,566.6,0.000442,0.0966,0.3398,1,0,1086.0,330.32,0.009,4489.0,19.679115,0
0.622,0.841,113.60447,-0.39,0.63,-0.222,113.6,0.581,0.809,0.102553,-0.23,11.18,0,45.3,0,26.185051,31.56904354,0.00149,42.0,0.3928,88.76,0.0,4229.4,-0.00363,0.2676,0.3053,1,0,575.0,25.83,0.985,5654.0,19.8279674,1
0.09,0.06,50.46327,-0.52,-0.14,-0.07,50.5,0.05,-0.06,0.066386,-0.018,6.28,1,14.31,0,10.990618,9.08590495,0.00083,99.0,0.3238,86.08,0.041,2121.3,0.00061,0.2979,0.5483,1,0,861.0,130.1,0.978,5931.0,19.7355494,0
0.583,0.61,15.3658285,-4.36,9.72,-0.004,44.4,-0.017,0.0,0.258133,0.0,25.48,0,1.381,0,4.0414243,0.784512952,0.00109,1441.0,0.3447,26.69,0.0,586.0,-0.00166,0.2916,0.9647,2,0,1952.0,3432.93,1.234,5997.0,19.970293,0
4.76,4.75,23.7931,-5.16,2.19,-4.22,31.7,2.199,2.31,0.010498,-4.16,1.09,0,3.43,1,3.293414,0.883778461,0.000542,1514.0,0.3342,79.85,0.0,120.1,-0.000251,0.2965,0.7446,1,0,1934.0,3316.4,0.605,5975.0,19.892867,0
6.1,5.5,21.635609,3.05,-0.26,4.9,23.2,-3.7,-3.3,0.005276,4.4,0.69,0,12.6,0,4.6253843,2.465024332,-6.6e-05,426.0,0.3147,87.51,0.002,30.7,-1.6e-05,0.3032,0.3016,1,0,1561.0,1406.11,0.548,6139.0,18.98583,2
0.81,0.98,21.97962,-0.26,-0.23,0.33,28.4,0.75,0.83,0.009192,0.51,1.31,0,15.2,0,5.5587177,15.86624787,7e-06,68.0,0.3354,86.77,0.758,77.3,1.3e-05,0.2949,0.8177,3,0,879.0,141.18,0.858,6099.0,19.031766,2
1.94,1.967,563.29205,1.782,0.874,1.742,292.1,0.854,1.013,0.349955,1.686,76.51,1,6.14,1,50.98444,4.288515468,-0.00604,313.0,0.2923,77.93,0.0,3456.7,-0.00363,0.3025,0.8632,1,0,1722.0,2081.57,1.283,6378.0,18.98262055,0
0.143,0.005,1567.476,-0.0299,-0.1014,-0.07,1549.0,-0.125,-0.005,0.108759,-0.001,10.07,0,13.635,0,140.05356,3.797018259,0.00032,356.0,0.5256,88.65,0.0,14431.0,-5e-05,0.186,0.1145,1,0,982.0,219.64,0.321,5167.0,19.35720057,2
0.25,0.11,45.450558,0.37,-0.03,0.2,37.6,0.15,0.1,0.009466,0.02,1.16,0,6.299,0,7.200995,1.340596782,3e-06,801.0,0.3729,89.94,0.176,107.5,2.5e-05,0.2826,0.5423,1,0,1783.0,2393.35,0.007,5992.0,19.6881757,2
0.51,0.29,29.249092,0.64,-0.2,-0.22,33.2,-0.45,-0.28,0.031088,-0.07,3.29,0,12.22,0,6.134604,17.42393582,-0.00064,66.0,0.3447,85.65,0.047,770.9,-2e-05,0.2916,0.9999,1,0,722.0,64.13,0.927,6018.0,19.621774,2
1.401,0.349,73.38995,-1.21,-0.193,-1.322,49.2,-0.464,0.018,0.034764,-0.349,1.6,0,41.282,0,22.225523,9.8786461,0.00069,57.0,0.3402,89.97,0.0,1472.7,-0.00019,0.3775,0.3381,1,0,393.0,5.65,0.019,3609.0,18.9085549,2
0.49,0.19,71.70658,-0.03,0.19,0.16,88.0,0.47,0.14,0.025141,0.14,2.0,0,70.29,0,18.68955,44.96407458,1e-05,30.0,0.6323,89.91,0.064,811.6,0.00014,0.1054,0.2391,1,0,379.0,4.89,0.11,4827.0,19.6636732,2
0.12,0.09,88.690445,-0.2,0.03,-0.05,109.8,-0.11,-0.08,0.057313,0.03,5.12,0,31.4,0,25.894827,49.7700907,0.00028,21.0,0.3728,88.8,0.634,3529.2,-0.00018,0.2787,0.9022,1,0,455.0,10.16,0.655,5774.0,18.9515931,2
0.089,0.108,592.3904,-0.0005,-0.034,-0.01,69.9,0.089,0.098,0.409477,0.045,70.11,1,13.17,0,88.845825,12.7319385,0.0,109.0,0.2353,84.43,0.006,11449.0,0.0,0.3376,0.2371,1,0,1145.0,405.75,1.278,7238.0,19.48498256,0
6.985,6.931,11.872462,-8.11,-4.2,-6.86,28.9,-1.316,-1.225,0.015613,-6.822,1.52,1,2.852,1,3.6876688,0.520222869,0.0013,2497.0,0.3928,78.64,0.0,269.5,0.00069,0.2676,0.9903,1,0,2145.0,5038.49,0.562,5776.0,19.802867,0
0.52,0.38,30.119083,0.63,-1.09,0.4,36.6,-0.32,-0.15,0.022847,0.35,2.98,0,7.89,0,5.3781757,5.83376197,-0.00031,234.0,0.3403,84.6,0.0,532.9,0.00052,0.3016,0.5493,2,0,1143.0,403.49,0.742,6213.0,19.003823,2
0.03,0.24,13.30873,-2.1,0.2,-0.02,15.8,0.02,0.21,0.01238,-0.12,1.62,0,5.35,0,3.1100724,2.42150341,0.00034,511.0,0.3403,84.11,0.043,171.5,-5e-05,0.3016,0.7075,2,0,1532.0,1305.04,0.55,6213.0,19.00375,2
0.46,0.04,58.517822,0.04,-0.77,0.0,71.5,-0.46,-0.04,0.024336,0.0,2.35,0,25.755,0,9.7634325,14.16400071,-0.0001,90.0,0.4341,89.94,0.004,728.1,0.00025,0.2434,0.0023,3,0,694.0,54.95,0.027,5440.0,19.8482864,2
0.51,0.23,8.393401,-0.4,-0.1,0.14,11.6,-0.49,-0.15,0.006393,0.17,0.62,0,4.639,0,4.1868987,0.840594032,1.4e-05,1469.0,0.4341,89.78,0.882,49.8,-1.4e-05,0.2434,0.8893,3,0,1780.0,2368.31,0.018,5440.0,19.848275,1
2.2,2.0,10.959013,0.2,-4.5,-1.47,12.1,-1.7,-1.4,0.009191,-1.5,0.89,0,17.49,0,8.336403,6.20920207,-3e-05,208.0,0.4341,89.11,0.0,101.9,0.00041,0.2434,0.2101,3,0,914.0,164.98,0.272,5440.0,19.84829,2
0.18,0.07,40.321964,0.53,-0.6,-0.15,51.9,0.11,0.06,0.037656,-0.04,3.24,0,9.28,0,5.5825257,5.48711441,0.00067,207.0,0.5684,84.98,0.04,1328.6,0.00019,0.153,0.0408,4,0,836.0,115.29,0.812,5103.0,19.9483008,2
0.31,0.24,27.025053,0.7,-0.4,-0.154,34.7,0.27,0.24,0.037401,-0.01,3.21,0,8.14,0,5.0337462,8.29084167,0.00035,132.0,0.5684,83.45,0.535,1033.9,-6e-05,0.153,0.3684,4,0,728.0,66.47,0.929,5103.0,19.948305,2
0.42,0.35,15.503878,0.35,-0.63,-0.41,20.6,0.09,0.15,0.019789,-0.31,1.7,0,10.11,0,4.5903673,3.20539622,0.00031,326.0,0.5684,87.1,0.415,453.6,7e-05,0.153,0.3799,4,0,1000.0,236.11,0.512,5103.0,19.948296,2
0.43,0.35,13.798911,0.74,-0.73,-0.23,20.4,-0.36,-0.32,0.029747,-0.13,2.56,0,45.4,0,4.407519,16.73869035,0.00029,60.0,0.5684,89.27,0.682,996.8,0.00027,0.153,0.9696,4,0,576.0,26.06,0.578,5103.0,19.948306,2
0.161,0.161,1803.5532,0.2936,0.484,-0.103,1131.7,-0.123,-0.135,0.152118,-0.088,17.19,1,9.663,0,180.00021,5.093938816,0.0,259.0,0.319,86.33,0.006,25027.0,0.0028,0.302,0.5186,1,0,1137.0,395.38,0.618,6197.0,19.21686472,0
0.38,0.48,20.91329,0.08,-0.41,-0.34,28.9,0.18,0.22,0.01259,-0.42,1.66,0,18.18,0,5.6667614,13.93291548,8e-06,47.0,0.3661,87.14,0.207,131.6,5.8e-05,0.2844,0.786,2,0,852.0,124.53,0.908,6026.0,19.300426,2
0.5,0.32,18.173906,-0.32,0.5,-0.29,12.4,-0.41,-0.27,0.004888,-0.16,0.82,0,5.358,0,4.8008075,2.36436762,2e-06,571.0,0.3325,88.44,0.022,28.4,-1.8e-05,0.307,0.4248,1,0,1752.0,2228.09,0.146,6250.0,19.736483,2
2.94,1.69,14.364524,-2.24,-2.38,-1.89,13.6,-2.25,-1.19,0.008896,-1.2,0.66,0,50.16,0,4.4412627,20.6654374,0.000151,50.0,0.6019,89.94,0.0,100.4,0.000132,0.1263,0.9243,1,0,487.0,13.35,0.05,4830.0,19.665962,1
0.5,0.5,32.23092,0.53,-0.15,-0.25,46.1,0.43,0.4,0.011737,-0.3,2.41,0,29.39,0,7.240426,20.31047472,-6.4e-05,67.0,0.3534,89.9,0.333,164.6,9e-06,0.2904,0.3425,1,0,931.0,177.81,0.05,6065.0,19.9059589,2
0.13,0.19,33.151352,-0.21,-0.77,-0.12,46.8,-0.04,-0.05,0.01588,-0.18,3.51,0,49.2,0,10.4856205,69.8347983,5.9e-05,19.0,0.2374,89.22,0.0,266.6,0.000243,0.3299,0.5547,1,0,765.0,80.97,0.672,7732.0,19.5699214,1
0.12,0.18,38.49001,-0.1,-0.18,-0.11,51.3,0.042,0.149,0.022945,-0.1,2.02,0,2.41,0,4.7098107,2.53475568,0.00021,450.0,0.3556,68.67,0.0,463.0,-0.00025,0.2865,0.1348,1,0,1218.0,519.95,0.878,5662.0,19.8740776,2
1.4,3.0,12.3103895,1.75,-0.86,-0.58,14.9,1.3,2.9,0.02711,-0.66,2.36,0,6.2,0,2.977677,2.59488443,7e-05,251.0,0.6441,81.79,0.6,592.2,-0.00019,0.0989,0.9914,2,0,1014.0,249.92,0.885,4748.0,20.097999,1
0.18,0.24,21.455402,0.0,0.93,0.12,27.1,-0.14,-0.24,0.028621,-0.01,2.42,0,68.11,0,6.038631,43.3167427,5e-05,32.0,0.3728,89.97,0.013,987.5,-0.00074,0.2787,0.6821,1,0,459.0,10.47,0.034,5654.0,19.573417,2
0.31,0.12,14.985963,1.53,0.45,0.23,17.6,0.21,0.02,0.026864,0.12,1.72,0,62.07,0,4.4207025,19.18109525,0.0,73.0,0.3282,89.99,0.006,865.4,-0.0004,0.3158,0.2817,1,0,513.0,16.42,0.007,5214.0,20.072422,1
0.161,0.172,875.46204,-0.036,0.084,-0.051,929.0,0.153,0.135,0.131379,-0.107,14.39,1,69.8,0,202.44992,37.590298548,0.0011,36.0,0.319,89.69,0.0,19939.0,0.0008,0.302,0.1142,1,0,573.0,25.53,0.38,6147.0,19.52507569,0
0.48,0.52,17.33398,-1.04,-0.61,-0.47,22.1,-0.07,-0.15,0.023218,-0.49,2.72,0,45.63,0,5.570834,31.0033072,0.00066,41.0,0.3729,89.81,0.033,645.2,0.00044,0.2826,0.8926,1,0,616.0,34.03,0.151,6090.0,19.417957,2
8.679,8.521,33.38515,24.05,-73.1,2.25,38.8,-8.382,-8.186,0.016517,2.367,1.64,0,10.771,1,5.6793165,3.351556891,-0.0082,400.0,0.5256,89.31,0.0,341.9,0.02466,0.186,0.878,1,0,1074.0,314.73,0.129,5185.0,19.7023265,0
0.48,0.21,23.59866,-0.47,0.17,-0.36,30.8,-0.31,0.13,0.019867,-0.16,1.57,0,9.88,0,4.746314,2.617028373,6e-05,514.0,0.6188,89.15,0.02,499.4,-0.00034,0.1142,0.3487,1,0,996.0,233.23,0.146,4831.0,19.341477,2
2.1,1.93,31.572254,3.16,0.98,1.98,37.0,0.7,0.62,0.018916,1.83,1.57,0,9.13,1,4.906174,1.876406096,-0.00088,714.0,0.4966,88.11,0.0,433.8,-0.00057,0.2043,0.104,1,0,1192.0,476.68,0.302,5198.0,19.415502,0
7.77,7.86,41.449924,14.12,9.45,6.32,46.5,4.513,4.629,0.020096,6.35,5.76,0,5.18,1,8.794458,6.71425632,-0.003715,201.0,0.3424,79.27,0.0,283.5,-0.00253,0.2931,0.1199,1,0,1565.0,1416.6,0.965,6093.0,19.9389072,0
0.19,0.08,69.35844,-0.45,0.87,-0.1,72.3,-0.16,-0.08,0.044645,0.03,4.6,0,104.3,0,27.327625,150.2412582,2e-05,10.0,0.4526,89.81,0.7,2378.5,-0.00021,0.2327,0.149,1,0,327.0,2.72,0.345,5604.0,19.1523408,2
0.043,0.123,110.02427,0.1,-0.19,-0.037,119.5,-0.022,0.001,0.053288,-0.123,5.82,0,80.697,0,30.049507,53.44944498,0.00151,24.0,0.3729,89.93,0.0,3437.0,0.00046,0.2826,0.1809,1,0,486.0,13.23,0.092,5919.0,19.4055886,2
6.427,5.619,8.796906,-33.5,2.83,-6.425,103.6,-0.152,0.082,0.218533,-5.619,20.43,1,1.395,1,3.8772557,0.466743525,0.01056,1428.0,0.3858,31.79,0.0,796.1,-0.00095,0.2711,0.9941,1,0,2197.0,5480.92,1.186,5791.0,19.754725,0
0.583,0.61,13.080097,-9.43,-12.48,-0.004,17.1,-0.017,0.0,0.018093,0.0,1.42,0,4.89,1,6.051578,1.727177258,0.00299,657.0,0.398,82.05,0.0,347.4,0.00352,0.2665,0.9096,1,0,1250.0,576.55,0.676,5394.0,19.942532,0
0.31,0.13,38.200813,0.27,-0.12,0.17,48.2,-0.26,-0.06,0.027225,0.11,2.14,0,16.97,0,6.5812044,7.24022418,0.0,158.0,0.5575,88.29,0.014,864.9,0.00043,0.1611,0.9175,4,0,716.0,62.1,0.507,4955.0,19.2359178,2
0.19,0.08,21.927835,0.22,-0.39,0.15,28.2,-0.11,0.04,0.023132,0.08,1.82,0,7.42,0,5.4548845,4.64622383,2e-05,228.0,0.5575,83.18,0.045,446.5,0.00031,0.1611,0.457,4,0,830.0,112.18,0.88,4955.0,19.235917,2
0.44,1.19,25.841604,-0.23,0.05,-0.31,31.3,-0.31,-0.06,0.029321,-1.19,5.75,0,28.4,0,4.825361,10.29674097,0.00153,111.0,0.3671,89.4,0.0,1011.8,0.00013,0.2865,0.7546,3,0,1129.0,384.86,0.298,6068.0,19.8388689,2
0.26,0.91,12.756395,0.93,0.14,0.0,15.9,-0.26,-0.01,0.018858,-0.91,3.7,0,20.13,0,4.4229336,5.93919041,0.00014,184.0,0.3671,89.7,0.757,424.5,2e-05,0.2865,0.6817,3,0,1357.0,801.92,0.107,6068.0,19.838898,2
0.15,0.07,41.21705,-0.44,0.23,0.06,47.1,0.14,-0.07,0.020906,0.01,2.62,0,36.4,0,9.182446,19.74733983,0.0003,66.0,0.3344,89.06,0.001,480.7,-4.4e-05,0.3022,0.407,3,0,754.0,76.57,0.595,6243.0,19.8930396,2
0.248,0.014,1091.1238,-0.165,0.352,0.071,1126.2,0.237,0.014,0.131544,0.001,10.99,0,41.39,0,229.49213,30.360445359,0.0005,35.0,0.5575,89.5,0.004,21125.0,-0.0004,0.1611,0.0757,1,0,459.0,10.47,0.359,4939.0,18.99199331,2
0.15,0.04,23.284727,0.3,0.08,0.14,26.4,-0.05,-0.04,0.011829,0.01,1.51,0,9.49,0,4.1861,4.4096675,-1.3e-05,306.0,0.4282,85.07,0.967,132.7,-4e-06,0.2514,0.547,1,0,1192.0,476.94,0.814,5836.0,19.360808,2
0.7,0.46,27.731834,-0.51,-0.71,0.34,32.9,-0.61,-0.4,0.011622,0.24,1.07,0,14.36,0,4.2387223,4.16787814,9.2e-05,325.0,0.5256,89.33,0.005,168.1,6.8e-05,0.186,0.403,1,0,962.0,202.48,0.168,5251.0,19.449879,2
0.583,0.61,19.2544115,-0.0005,-0.034,-0.004,23.0,-0.017,0.0,0.021076,0.0,2.39,0,15.46,0,5.5897505,220.65651253,0.0,143.0,0.392,88.5,0.006,421.1,0.0,0.2711,0.4866,1,0,878.0,141.6,0.537,5767.0,19.48498256,1
0.51,0.29,16.84438,2.2,0.25,-0.27,20.7,-0.43,-0.17,0.018403,-0.24,2.41,0,30.2,0,3.8887682,11.79161234,-0.00042,114.0,0.4603,89.94,0.006,415.4,-0.00033,0.2291,0.3474,1,0,857.0,127.75,0.034,5619.0,20.062031,2
0.24,0.27,17.007568,0.56,0.38,-0.07,20.8,0.23,0.26,0.361005,-0.08,36.9,1,29.2,0,5.4672875,20.55848388,-0.0004,67.0,0.4695,87.38,0.149,677.3,-0.00031,0.224,0.3684,2,0,624.0,35.76,1.334,5578.0,19.427902,0
0.13,0.18,16.678694,0.1,-0.67,-0.12,20.1,0.03,0.03,0.022247,-0.18,2.2,0,55.53,0,4.885776,26.964501,0.0,54.0,0.4096,89.99,0.179,601.7,0.00043,0.2602,0.315,1,0,573.0,25.56,0.006,5754.0,19.62445,2
0.16,0.04,20.465412,0.92,-0.2,0.11,23.6,-0.11,-0.01,0.013457,-0.03,1.35,0,15.3,0,4.3469543,7.76845639,-0.00013,173.0,0.4695,88.68,0.004,217.8,-0.00019,0.224,0.6776,2,0,841.0,118.09,0.353,5447.0,19.553372,2
3.65,3.56,41.979595,0.48,-1.83,-2.74,93.0,-2.42,-2.32,0.23097,-2.7,22.22,1,1.623,1,4.7959886,2.178154348,-8.6e-05,616.0,0.3238,41.78,0.0,428.6,0.00035,0.2979,0.9483,1,0,1392.0,886.88,1.21,5947.0,19.2010036,0
0.12,0.18,23.779182,0.49,-1.85,0.02,26.3,-0.12,-0.18,0.025553,0.01,2.53,0,3.19,0,4.141011,5.03257009,-0.00025,264.0,0.3447,72.3,0.0,439.1,0.00084,0.2916,0.7739,1,0,1047.0,283.49,0.97,5970.0,18.824247,2
0.13,0.22,31.592804,-0.89,0.66,0.11,40.9,0.06,0.11,0.032104,0.18,2.92,0,24.0,0,7.8772316,40.4286676,0.00023,35.0,0.3728,87.92,0.731,916.1,2e-05,0.2787,0.0583,1,0,494.0,14.08,0.872,5813.0,19.294947,2
0.07,0.14,26.81022,-0.1,0.0,-0.06,33.2,-0.02,0.03,0.023225,-0.14,2.52,0,28.56,0,7.2193017,21.3588236,0.00022,64.0,0.3147,89.81,0.403,640.1,0.00016,0.3032,0.3846,1,0,691.0,53.89,0.092,6170.0,19.6935,2
0.14,0.13,26.71752,0.28,0.85,-0.12,29.7,0.07,0.13,0.02939,0.04,3.05,0,19.38,0,5.717545,22.0459163,-0.00044,61.0,0.3661,87.53,0.003,804.8,-0.00076,0.2844,0.9821,1,0,640.0,39.69,0.837,5900.0,19.635148,2
0.36,0.34,99.38497,-0.009,0.048,0.32,176.5,0.16,0.15,0.266267,0.31,43.41,1,4.59,0,25.9852,49.6456235,0.0,27.0,0.3153,74.36,0.636,857.5,0.0,0.3023,0.9393,1,0,648.0,41.57,1.236,6273.0,19.6842318,0
0.05,0.13,27.02667,-0.48,-0.64,0.0,34.8,-0.05,0.11,0.028301,-0.08,2.23,0,21.64,0,7.0385246,17.32670445,0.0006,67.0,0.5575,88.0,0.0,800.0,0.00082,0.1611,0.4263,4,0,535.0,19.38,0.756,4955.0,19.2359,2
0.23,0.11,22.303108,-0.34,-0.37,-0.01,28.9,-0.23,-0.08,0.034889,-0.07,2.75,0,33.1,0,6.9174876,44.8411168,0.00063,20.0,0.5575,88.5,0.004,1051.6,0.0008,0.1611,0.4592,4,0,390.0,5.45,0.864,4955.0,19.235903,2
3.47,3.65,26.506721,-2.19,3.24,-2.224,34.2,2.67,2.83,0.017433,-2.308,1.51,0,4.6,1,4.610032,1.008917105,0.00065,1122.0,0.3728,83.2,0.0,338.5,-0.00106,0.2787,0.9971,1,0,1636.0,1698.88,0.545,5708.0,19.833537,0
0.4,0.1,31.185875,-0.03,-0.4,-0.03,36.8,-0.39,-0.1,0.036806,0.02,2.81,0,22.4,0,6.7218804,13.75207851,0.00012,98.0,0.6188,87.86,0.799,1215.6,0.00015,0.1142,0.567,1,0,556.0,22.57,0.836,4802.0,18.875309,2
0.22,0.15,47.97676,-0.28,0.14,-0.03,57.4,0.215,0.06,0.029391,-0.14,3.31,0,6.88,0,6.5390487,6.33855946,0.00064,174.0,0.3661,82.42,0.0,721.7,2e-05,0.2844,0.6382,1,0,1034.0,270.47,0.907,6108.0,18.9975281,2
1.02,0.95,16.90332,-0.53,0.73,0.78,19.5,0.66,0.61,0.015211,0.73,1.4,0,21.58,0,5.3543544,11.30507984,0.00024,116.0,0.3928,89.48,0.139,278.4,-0.00017,0.2676,0.2428,1,0,744.0,72.67,0.195,5705.0,19.350628,1
0.27,0.03,23.504114,0.92,0.01,0.05,27.7,0.27,0.03,0.012245,0.01,1.85,0,3.94,0,4.2430696,4.59489816,-9.9e-05,291.0,0.3589,76.0,0.042,109.7,1.5e-05,0.2891,0.2352,1,0,1319.0,716.65,0.953,6056.0,19.37283,2
0.33,0.29,13.979327,1.12,0.83,0.31,17.9,-0.13,-0.25,0.019489,0.15,1.9,0,54.01,0,4.842732,32.2964275,-0.00039,43.0,0.5167,89.78,0.179,472.2,-0.00027,0.1914,0.7165,1,0,503.0,15.14,0.207,5246.0,19.398918,2
0.25,0.19,19.680035,0.08,-0.41,-0.16,22.4,0.19,0.14,0.020967,-0.13,1.7,0,9.64,0,3.9476871,2.97041801,5e-05,362.0,0.5684,87.75,0.283,530.7,0.00026,0.153,0.988,1,0,991.0,228.11,0.379,5068.0,19.936754,2
0.583,0.61,19.2544115,-0.0005,-0.034,-0.004,5.4,-0.017,0.0,0.009376,0.0,1.17,0,42.2,0,5.5897505,9.9824036,0.0,143.0,0.3182,88.81,0.006,83.9,0.0,0.3045,0.4866,2,0,966.0,205.65,0.8093,6273.0,19.48498256,1
0.026,0.073,111.8672,-0.19,0.49,-0.002,102.8,0.026,-0.052,0.094651,0.051,7.25,0,33.24,0,21.215656,12.681733929,-0.0001,78.0,0.5396,88.4,0.287,5879.1,-0.0006,0.1731,0.1814,1,0,601.0,30.84,0.929,4976.0,19.0701817,1
0.12,0.057,843.1109,-0.051,0.016,-0.076,742.2,-0.093,0.005,0.1589,0.057,14.18,1,14.432,0,97.8356,6.814984472,-0.0033,179.0,0.4415,86.85,0.0,23915.0,0.0,0.2396,0.0338,1,0,836.0,115.58,0.793,5465.0,19.77738868,0
11.074,11.045,92.80495,-20.87,-18.51,-9.54,57.6,-5.624,-5.48,0.247961,-9.59,2637.6,1,12.64,1,70.88845,63.9354965,0.0223,22.0,0.8758,84.55,0.0,1250.6,0.01993,-0.0598,0.8841,1,0,2590.0,10631.01,1.2,3626.0,19.9729339,0
0.088,0.026,251.88191,-0.277,-0.179,-0.043,277.2,-0.077,0.004,0.199089,0.025,13.83,0,46.11,0,78.39616,83.09708021,0.0003,14.0,0.3888,88.77,0.102,15860.0,0.0009,0.2787,0.3654,1,0,329.0,2.78,0.993,5286.0,19.7392065,1
0.161,0.023,1973.1324,-0.1774,-0.0928,-0.075,1955.1,-0.143,-0.011,0.093464,-0.02,12.63,0,14.784,0,204.69714,7.891448838,0.00175,169.0,0.3729,88.81,0.0,10345.0,0.00096,0.2826,0.4421,1,0,1028.0,263.54,0.306,5972.0,18.84197254,2
0.3,6.02,27.5152,0.15,0.99,-0.18,35.1,0.24,-6.02,0.020846,0.04,1.63,0,4.31,0,3.8445795,0.839961456,-0.00018,1554.0,0.5684,82.69,0.0,492.9,0.00076,0.153,0.9865,1,0,1455.0,1066.37,0.548,4932.0,19.6722857,1
0.25,0.26,32.87804,-0.08,-0.09,0.021,36.7,0.25,0.26,0.017525,-0.028,1.63,0,6.75,0,4.332655,2.578852119,4e-05,524.0,0.3928,84.69,0.893,334.3,2e-05,0.2676,0.8362,1,0,1230.0,540.56,0.625,5743.0,19.694495,2
1.65,1.7,30.428164,0.99,1.1,1.25,34.5,1.08,1.04,0.035901,1.35,3.24,1,9.25,1,6.5174136,9.04189129,-0.00098,119.0,0.5256,84.0,0.0,783.4,-0.0008,0.186,0.7842,1,0,729.0,66.83,0.967,5237.0,19.125862,0
0.24,0.16,53.19904,0.33,0.23,-0.07,71.7,0.23,0.09,0.021046,-0.14,3.49,0,23.19,0,12.292663,30.22910274,-0.000102,46.0,0.3279,88.1,0.267,443.4,-2e-05,0.3061,0.5182,1,0,755.0,76.88,0.77,6325.0,19.4431249,2
8.771,8.884,12.28706,-0.0005,-0.034,5.05,65.9,7.172,7.219,0.213426,5.178,24.03,1,1.409,1,3.976135,0.798200403,0.0,1336.0,0.3147,32.1,0.006,396.8,0.0,0.3032,0.9831,1,0,2128.0,4875.01,1.193,6258.0,19.48498256,0
0.287,0.028,1656.2042,0.1122,0.2489,0.098,123.3,0.269,-0.002,0.134097,0.028,12.86,1,7.41,0,138.5319,3.479425638,-0.00078,306.0,0.3342,85.26,0.0,19550.0,0.0001,0.2965,0.7336,1,0,1166.0,435.85,0.612,5907.0,19.71142274,0
5.76,5.9,32.33942,33.38,-1.32,5.69,47.7,-0.875,-0.731,0.236028,5.855,22.76,0,1.691,1,6.0734687,2.92878704,-0.01319,387.0,0.3447,44.23,0.0,549.4,0.00032,0.2916,0.8512,1,0,1239.0,556.77,1.212,5955.0,19.8561115,0
0.11,0.08,46.059982,-0.17,0.59,-0.078,53.1,0.08,-0.03,0.027603,-0.07,2.99,0,13.21,0,6.697026,9.80321143,0.00017,118.0,0.3147,87.12,0.012,813.4,-0.00034,0.3032,0.7559,1,0,896.0,152.12,0.663,6170.0,19.2489342,2
0.27,0.08,91.72884,-0.25,-0.04,-0.17,123.9,-0.2,-0.07,0.041991,0.04,4.22,0,61.21,0,19.424139,24.81097206,-0.00019,53.0,0.3342,89.96,0.066,2090.8,-0.00027,0.2965,0.1363,2,0,631.0,37.43,0.039,6086.0,19.7897379,2
0.32,0.33,13.640516,-1.81,0.49,-0.23,23.7,0.22,0.33,0.013676,0.0,1.38,0,19.69,0,3.8983874,7.136922,0.00022,186.0,0.3342,89.79,0.035,221.6,-0.0001,0.2965,0.017,2,0,956.0,197.05,0.072,6086.0,19.7897,1
0.5,0.4,13.1556225,-1.0,-0.9,0.3,15.4,-0.4,-0.3,0.016263,0.27,1.72,0,4.51,0,4.9223104,4.8538404,0.00026,219.0,0.4096,77.94,0.088,196.4,0.00019,0.2602,0.0566,1,0,1052.0,288.7,0.943,5778.0,19.88002,2
0.31,0.26,22.176304,-0.56,0.95,0.28,24.3,0.11,0.11,0.016086,0.23,1.8,0,17.84,0,4.838763,11.04605365,0.00027,96.0,0.3511,89.79,0.008,308.3,-0.00028,0.2889,0.8634,1,0,869.0,134.66,0.064,6093.0,19.874302,2
0.214,0.054,192.8367,0.287,-0.04,-0.2,24.3,0.076,0.007,0.360488,-0.053,34.68,1,4.96,0,24.077776,2.621706694,0.0009,158.0,0.3556,75.07,0.0,4572.0,0.0018,0.2865,0.0667,1,0,1288.0,648.75,1.279,5749.0,19.825444,0
0.32,0.52,14.020479,0.14,0.46,0.28,15.0,-0.16,-0.04,0.011348,0.52,0.99,0,14.32,0,3.6129627,3.72020708,-2e-05,285.0,0.5684,88.63,0.488,156.9,-9e-05,0.153,0.4016,1,0,954.0,195.7,0.341,5017.0,19.897724,2
0.069,0.045,620.94885,-0.09,-0.105,0.002,560.2,-0.069,0.015,0.110513,-0.042,28.29,1,14.89,0,128.99419,12.264867364,0.00071,84.0,0.5277,86.85,0.0,11311.0,3e-05,0.1875,0.1325,1,0,1077.0,317.89,0.818,5372.0,18.9765898,0
