koi_dikco_msky,koi_dicco_msky,koi_max_mult_ev,koi_fwm_srao,koi_fwm_sdeco,koi_dikco_mra,koi_model_snr,koi_dikco_mdec,koi_dicco_mdec,koi_ror,koi_dicco_mra,koi_prad,koi_fpflag_ss,koi_dor,koi_fpflag_co,koi_max_sngle_ev,koi_period,koi_fwm_prao,koi_num_transits,koi_ldm_coeff1,koi_incl,koi_fwm_stat_sig,koi_depth,koi_fwm_pdeco,koi_ldm_coeff2,koi_bin_oedp_sig,koi_count,koi_fpflag_nt,koi_teq,koi_insol,koi_impact,koi_steff,koi_fwm_sra,koi_disposition_num
2.49,2.44,34.570904,-1.47,-0.53,0.89,48.2,2.32,2.19,0.017673,1.08,1.58,1,5.827,1,5.508401,2.696370652,0.00047,501.0,0.5746,89.56,0.0,397.9,0.00019,0.1496,0.0505,1,0,1066.0,305.34,0.044,4989.0,18.917658,0
0.04,0.04,48.504196,-0.71,-0.38,-0.02,60.6,-0.03,-0.02,0.025706,0.04,2.55,0,13.8015,0,6.0370364,5.349553819,0.00055,247.0,0.5256,89.62,0.002,831.0,0.0003,0.186,0.7722,3,0,919.0,168.99,0.092,5185.0,19.4917224,2
0.42,0.42,22.749151,0.2,0.38,-0.24,28.9,0.34,0.35,0.017105,-0.23,1.7,0,11.51,0,4.5118856,3.94105221,-8e-05,322.0,0.5256,88.88,0.464,363.3,-0.00013,0.186,0.923,3,0,1018.0,253.15,0.226,5185.0,19.491748,2
0.22,0.18,9.776852,3.8,-0.1,-0.15,14.1,-0.15,-0.14,0.013127,-0.11,1.3,0,17.46,0,4.434382,8.10904807,-0.00072,141.0,0.5256,89.92,0.013,217.4,2e-05,0.186,0.7742,3,0,800.0,97.03,0.025,5185.0,19.491847,2
0.163,0.037,19.2544115,-0.008,0.067,0.001,994.0,0.163,0.037,0.240528,0.001,41.5,1,332.0,0,5.5897505,386.6030528,-0.0007,143.0,0.4707,89.95,0.002,24927.0,0.0006,0.2251,0.4866,1,0,297.0,1.84,0.9765,5543.0,19.48491512,0
0.36,0.11,24.54073,0.54,-0.26,-0.28,34.3,-0.23,-0.04,0.032666,-0.1,2.95,0,24.6,0,5.911944,21.67699193,-0.00064,62.0,0.582,87.91,0.103,857.2,0.0,0.1451,0.6183,4,0,530.0,18.64,0.896,4954.0,19.364357,2
0.11,0.22,24.283327,0.26,-0.17,-0.06,28.2,0.1,0.17,0.030014,-0.14,2.78,0,13.14,0,4.132564,4.99677968,2e-05,208.0,0.5256,86.9,0.998,934.7,1e-05,0.186,0.036,1,0,917.0,166.95,0.71,5339.0,19.853891,2
0.158,0.066,52.913242,-0.33,0.04,-0.015,61.8,0.158,-0.065,0.025377,0.003,2.3,0,10.64,0,6.7006826,4.280963604,0.00073,311.0,0.3928,87.72,0.0,750.8,6e-05,0.2676,0.4302,1,0,1012.0,247.87,0.424,5644.0,19.6177106,2
1.144,1.292,130.6654,0.769,0.643,0.877,181.1,0.734,0.821,0.049899,0.998,4.53,0,4.67,1,9.787732,1.50635409,-0.00174,882.0,0.3858,79.38,0.0,2211.7,-0.0015,0.2711,1.0,1,0,1452.0,1054.12,0.86,5714.0,19.7110359,0
1.092,1.306,96.96236,-0.551,0.435,-1.047,642.7,0.31,0.227,0.131705,-1.286,14.14,1,85.24,1,70.64302,670.645531,0.0175,3.0,0.4955,89.53,0.0,18091.0,-0.0049,0.2111,0.0001,1,0,196.0,0.35,0.701,5520.0,19.7798916,0
0.074,0.083,73.10389,-0.43,0.28,-0.069,85.3,-0.028,-0.055,0.334628,0.063,39.87,1,29.1,0,31.079844,61.2563628,0.001,13.0,0.3239,87.54,0.156,5123.3,-0.0009,0.3029,0.8513,1,0,505.0,15.43,1.248,6144.0,18.915049,0
0.04,1.76,31.946487,0.36,-0.91,-0.01,34.7,0.04,1.54,0.024901,-0.85,2.82,0,47.8,0,10.352898,38.3775486,0.00067,37.0,0.4695,89.44,0.0,724.2,-0.00104,0.224,0.3889,1,0,529.0,18.53,0.468,5481.0,19.4481442,2
0.08,0.12,37.877567,-0.43,0.0,0.07,51.2,0.03,0.0,0.041693,0.12,3.86,0,70.75,0,11.918161,41.19725502,0.00111,26.0,0.582,89.96,0.123,2213.9,0.00012,0.1451,0.1551,3,0,439.0,8.76,0.045,5031.0,19.1332861,2
0.05,0.06,35.96252,-0.36,0.15,-0.02,47.1,0.05,0.05,0.028604,0.03,2.65,0,18.94,0,5.834264,6.252962249,0.00042,167.0,0.582,89.68,0.236,1036.9,-9e-05,0.1451,0.7587,3,0,823.0,108.3,0.105,5031.0,19.1332878,2
0.19,0.22,31.066507,-0.03,-0.36,-0.18,33.2,-0.08,-0.21,0.034369,-0.06,3.1,0,24.7,0,8.468995,16.01308419,-2e-05,65.0,0.5746,88.14,0.167,1121.9,0.00054,0.1496,0.8555,1,0,593.0,29.31,0.799,5015.0,19.801708,2
0.15,0.08,61.372303,-0.25,-0.17,0.121,80.0,-0.09,0.07,0.03852,0.037,3.36,0,53.95,0,14.0889,32.62876672,0.00079,34.0,0.421,89.98,0.047,1804.8,-0.00016,0.2521,0.6386,2,0,506.0,15.55,0.021,5586.0,19.0478951,2
0.65,0.55,14.678595,-0.5,-0.52,-0.35,19.1,-0.55,-0.41,0.02432,-0.36,2.12,0,89.4,0,6.9461374,91.7732862,0.00041,11.0,0.421,89.61,0.599,652.0,0.00016,0.2521,0.7668,2,0,359.0,3.92,0.606,5586.0,19.047889,2
0.08,0.022,670.4895,0.0,-0.086,-0.021,696.5,-0.077,0.012,0.103379,-0.018,12.21,0,12.386,0,58.764744,4.959319244,0.00011,269.0,0.4096,86.15,0.705,9802.0,-7e-05,0.2602,0.0517,1,0,1103.0,349.4,0.831,5712.0,19.47780401,2
6.51,6.45,39.745068,7.84,15.08,3.46,48.3,5.52,5.48,0.06584,3.39,6.54,1,2.22,1,5.044661,2.701287801,-0.00608,387.0,0.4526,62.69,0.0,860.4,-0.01249,0.2327,0.3375,1,0,1222.0,527.81,1.016,5550.0,19.8617971,0
0.19,0.15,26.501581,0.83,0.54,0.18,29.5,0.04,-0.12,0.019817,0.09,2.1,0,8.95,0,4.435833,4.49876511,-0.00024,238.0,0.3511,88.0,0.281,460.0,-0.0001,0.2889,0.1694,1,0,1133.0,389.62,0.312,6075.0,19.897146,2
0.043,0.006,509.4985,-0.059,-0.022,-0.028,513.4,0.033,0.0,0.106953,0.006,12.42,1,23.98,0,85.46643,19.651209505,0.00021,59.0,0.3511,88.27,0.518,11766.0,-0.0002,0.2889,0.5224,1,0,730.0,67.03,0.723,6074.0,19.40625763,0
0.24,0.08,163.47614,0.007,-0.175,-0.16,166.7,-0.18,0.08,0.024775,-0.03,2.94,0,9.25,0,46.475086,5.412203927,-5.2e-05,244.0,0.3928,85.12,0.0,601.6,-0.000137,0.2676,0.2265,3,0,1093.0,337.68,0.787,5779.0,19.1924882,2
0.085,0.078,124.52492,0.0,-0.15,-0.049,141.1,-0.069,-0.072,0.048175,-0.029,5.5,0,29.47,0,27.788597,41.43958662,-0.00022,33.0,0.4695,89.31,0.043,2793.1,-0.0004,0.224,0.4776,1,0,516.0,16.72,0.355,5468.0,19.7036699,2
0.17,0.09,36.34974,0.32,0.09,0.04,43.4,-0.17,0.09,0.029305,0.0,2.52,0,29.18,0,5.6967807,8.35389523,-0.00025,127.0,0.421,89.95,0.645,1041.6,-9e-05,0.2521,0.5047,1,0,790.0,91.9,0.023,5592.0,19.033292,2
0.075,0.035,94.70979,0.07,0.07,-0.066,128.6,0.036,0.009,0.036796,-0.034,4.43,0,8.45,0,9.387555,4.125543472,-0.00012,323.0,0.3288,85.95,0.431,1487.3,-9e-05,0.3024,0.6043,1,0,1243.0,565.35,0.597,6174.0,19.4624133,2
0.162,0.025,1328.3038,0.3386,0.317,0.032,1406.8,0.159,-0.007,0.117059,-0.024,12.21,0,9.571,0,104.64681,2.816504904,-0.00034,474.0,0.4603,89.37,0.0,16814.0,0.00069,0.2291,0.7998,1,0,1219.0,521.13,0.105,5532.0,19.8010403,2
3.353,3.258,193.4089,3.101,0.336,3.353,236.1,0.066,0.163,0.095386,3.254,7.34,1,13.12,1,52.86124,33.93373447,-0.0247,31.0,0.5508,86.45,0.0,8503.7,-0.0016,0.1646,0.0299,1,0,430.0,8.11,0.812,5040.0,18.9449095,0
0.3,0.27,31.786789,-0.27,0.07,-0.3,35.6,-0.02,0.05,0.018878,-0.27,1.89,0,10.71,0,4.8750124,3.689920099,0.00017,360.0,0.3511,89.19,0.255,426.7,0.00012,0.2889,0.4053,1,0,1147.0,408.99,0.151,5880.0,19.441486,2
0.07,0.1,58.259056,0.03,0.82,-0.045,71.1,0.06,0.03,0.02933,-0.097,3.25,0,10.19,0,6.815371,4.431238488,0.0005,302.0,0.4191,87.72,0.016,1010.9,-0.0001,0.2555,0.52,3,0,1104.0,351.23,0.405,5714.0,19.7210781,2
0.15,0.11,29.930164,0.93,0.88,0.14,37.9,-0.05,-0.06,0.035628,0.09,3.95,0,16.31,0,5.2506146,11.37936986,-0.00041,109.0,0.4191,86.8,0.372,1023.5,-0.00017,0.2555,0.2364,3,0,806.0,99.68,0.911,5714.0,19.721105,2
0.18,0.27,41.269753,0.09,0.77,-0.18,48.2,0.05,0.2,0.03681,-0.18,3.07,0,47.7,0,8.917681,26.39432897,0.00037,51.0,0.5086,89.28,0.592,1510.9,3e-05,0.1959,0.2735,1,0,489.0,13.49,0.602,5129.0,19.2933174,2
0.41,0.26,76.76887,0.61,0.0,0.37,88.4,0.19,0.02,0.023908,0.26,2.64,0,16.93,0,18.771214,13.57078281,-4.4e-05,101.0,0.3928,87.07,0.044,511.7,0.000108,0.2676,0.6645,4,0,785.0,89.61,0.866,5854.0,20.0576138,2
0.23,0.06,39.793564,0.29,-0.73,-0.09,47.1,-0.21,0.04,0.01512,0.03,1.79,0,8.62,0,6.1814723,7.12594387,-6.9e-05,181.0,0.3928,84.02,0.009,192.4,6.1e-05,0.2676,0.7788,3,0,997.0,233.31,0.898,5779.0,19.1924958,2
0.122,0.076,1044.7283,-0.054,-0.201,-0.105,835.6,-0.061,-0.035,0.143936,-0.068,15.03,1,27.99,0,115.64278,7.442652004,0.0128,180.0,0.3342,89.72,0.0,24446.0,0.0041,0.2965,0.0786,1,0,967.0,206.78,0.137,6108.0,19.26578646,0
0.17,0.03,28.122635,-0.67,0.28,-0.07,28.9,0.15,-0.02,0.029758,0.02,2.0,0,42.62,0,6.419572,16.38489988,0.0006,65.0,0.6834,90.0,0.204,1127.1,-3e-05,0.0718,0.7202,3,0,433.0,8.35,0.001,4126.0,19.11585,2
0.16,0.07,41.450657,-0.34,0.27,-0.02,38.7,0.16,-0.03,0.03209,0.06,2.16,0,29.84,0,10.036489,7.8774163,0.00032,135.0,0.6834,89.92,0.588,1306.1,-2e-05,0.0718,0.5008,3,0,553.0,22.18,0.041,4126.0,19.1158594,2
0.36,0.17,19.803268,0.04,-0.58,-0.07,21.7,0.36,0.17,0.029681,-0.01,1.99,0,71.53,0,5.9903665,36.4454001,-0.00014,27.0,0.6834,89.98,0.01,1122.3,0.00084,0.0718,0.6219,3,0,332.0,2.88,0.028,4126.0,19.11587,2
0.122,0.083,360.1958,0.083,-0.217,0.033,345.2,-0.117,0.041,0.068178,-0.072,6.02,0,9.7,0,28.264866,3.728732147,0.00057,357.0,0.4415,86.7,0.0,5226.5,-0.00136,0.2396,0.6769,1,0,1023.0,258.34,0.558,5497.0,19.3857191,2
0.053,0.057,94.071846,0.09,0.31,-0.049,36.9,-0.021,0.051,0.088069,-0.025,7.51,0,54.7,0,22.598503,40.4195037,0.0006,36.0,0.398,89.05,0.027,6256.0,-0.0011,0.2665,0.8482,1,0,467.0,11.29,0.911,5446.0,19.6211267,1
0.08,0.33,30.578562,-0.06,0.46,0.05,38.9,-0.06,0.27,0.032248,0.19,1.99,0,7.38,0,4.251499,2.243380573,-0.00024,472.0,0.6215,82.88,0.0,821.7,-0.00057,0.1171,0.5576,1,0,822.0,107.6,0.915,4149.0,19.0117449,2
0.101,0.012,691.1691,0.091,-0.188,-0.026,745.2,-0.098,0.004,0.111248,-0.011,11.23,1,13.012,0,97.352005,10.405998015,-0.00025,117.0,0.3556,88.57,0.553,14489.0,0.0,0.2865,0.8796,1,0,833.0,113.94,0.324,5746.0,19.28237064,0
0.41,0.061,63.58795,0.16,-0.45,0.357,82.4,0.2,0.05,0.027998,0.027,2.34,0,8.86,0,6.0310416,2.337437946,6e-05,578.0,0.5746,88.19,0.0,971.2,0.00045,0.1496,0.6818,2,0,1070.0,311.16,0.28,5005.0,19.5888925,2
0.39,0.71,9.1666,-0.1,-1.4,0.08,13.7,-0.38,-0.49,0.232818,-0.51,19.45,0,28.8,0,3.2751372,7.2406612,0.00016,168.0,0.5746,87.62,0.058,556.4,0.00075,0.1496,0.4049,2,0,734.0,68.63,1.198,5005.0,19.588885,1
0.3,0.05,7.4337807,-0.6,-0.3,-0.11,8.7,-0.3,-0.05,0.004612,0.01,0.55,0,6.65,0,3.8943021,3.43591631,1.2e-05,357.0,0.3928,84.62,0.858,23.2,-3e-06,0.2676,0.0228,3,0,1272.0,617.61,0.624,5779.0,19.192473,1
0.69,0.066,62.376225,0.63,0.92,0.29,71.0,0.628,-0.03,0.051287,0.059,2.65,0,28.2,0,11.461336,11.59822233,-0.00029,115.0,0.3156,88.62,0.178,2804.5,0.0006,0.3872,0.6552,1,0,396.0,5.82,0.679,3688.0,19.7481495,2
0.181,0.052,210.22159,0.016,-0.099,-0.009,221.1,-0.181,-0.04,0.049152,-0.033,5.31,0,11.37,0,20.537346,6.575315881,0.00044,205.0,0.3342,88.03,0.013,2793.3,-7e-05,0.2965,0.5611,1,0,1015.0,251.38,0.39,5992.0,19.3398711,2
0.134,0.085,234.95987,0.234,0.323,0.008,312.1,-0.134,-0.065,0.051358,-0.054,4.86,0,6.66,0,24.639503,7.275040844,0.00066,188.0,0.4695,85.29,0.0,3001.0,0.00064,0.224,0.1322,1,0,833.0,113.64,0.547,5485.0,19.6970261,2
0.36,0.26,28.490973,0.78,0.05,0.28,37.1,-0.23,-0.17,0.031585,0.2,1.93,0,55.02,0,6.437265,19.27153892,-0.00076,67.0,0.4639,89.97,0.0,1219.8,0.00145,0.2589,0.8388,2,0,393.0,5.66,0.031,4077.0,19.598247,2
0.28,0.25,21.658537,-0.42,0.02,0.17,30.3,-0.23,-0.23,0.031153,0.11,1.91,0,45.9,0,5.446764,10.06524317,0.00053,126.0,0.4639,89.22,0.0,1053.3,0.00116,0.2589,0.0088,2,0,488.0,13.43,0.628,4077.0,19.598212,2
0.18,0.17,31.608551,0.13,0.39,-0.16,35.8,0.09,-0.04,0.032536,-0.17,2.66,0,13.07,0,5.6057496,12.3935651,0.00019,107.0,0.398,86.13,0.758,916.6,0.00011,0.2665,0.8571,1,0,677.0,49.68,0.883,5557.0,19.73476,2
0.22,0.23,65.59482,0.19,0.01,0.21,83.7,-0.03,-0.2,0.025934,0.12,2.87,0,28.2,0,16.554466,43.84439721,0.0002,29.0,0.3928,88.27,0.012,615.2,0.00012,0.2676,0.9647,4,0,531.0,18.77,0.852,5854.0,20.057603,2
5.364,5.172,32.72262,-8.51,0.75,-5.301,39.0,0.823,0.825,0.243351,-5.106,21.55,1,2.19,1,5.0937037,3.341913228,0.00348,780.0,0.5086,56.44,0.0,725.3,-0.00058,0.1959,0.0,1,0,1032.0,268.67,1.213,5295.0,19.4875286,0
0.96,0.82,45.885685,0.09,-1.31,-0.006,103.6,-0.96,-0.809,0.305244,0.1,32.43,0,2.38,1,5.3061833,1.626630225,-2e-05,664.0,0.3858,58.03,0.0,1620.6,0.0008,0.2711,0.8796,1,0,1547.0,1355.88,1.26,5735.0,19.6245489,0
0.104,0.05,48.726124,0.42,0.32,0.02,64.5,0.1,0.05,0.026533,-0.02,3.12,0,7.088,0,6.3430967,2.711504086,-0.00037,494.0,0.3288,89.81,0.0,837.5,-0.0003,0.3024,0.228,2,0,1420.0,960.79,0.023,6214.0,19.4435779,2
0.2,0.09,40.04205,0.07,0.81,0.07,51.5,0.19,0.07,0.028255,0.05,3.32,0,14.003,0,6.1683164,7.21203748,-0.00011,165.0,0.3288,89.95,0.0,950.4,-0.00083,0.3024,0.3431,2,0,1025.0,260.58,0.012,6214.0,19.4435697,2
0.583,0.61,19.2544115,-0.0005,-0.034,-0.004,11.2,-0.017,0.0,0.019561,0.0,1.88,0,43.54,0,5.5897505,14.1798187,0.0,143.0,0.3854,89.95,0.006,459.9,0.0,0.2714,0.4866,1,0,711.0,60.35,0.1601,5799.0,19.48498256,0
0.106,0.17,39.867977,1.18,0.22,-0.097,47.6,0.04,0.09,0.030119,-0.148,2.59,0,24.47,0,5.7419868,8.47237911,-0.00048,159.0,0.4966,89.95,0.046,1123.5,0.00037,0.2043,0.9241,2,0,751.0,75.44,0.022,5354.0,19.7578029,2
0.46,0.53,15.139797,-0.06,0.26,0.09,20.1,0.46,0.53,0.027422,0.0,2.36,0,93.71,0,6.335456,60.4189369,0.0007,22.0,0.4966,89.94,0.424,931.3,0.00025,0.2043,0.6244,2,0,390.0,5.49,0.094,5354.0,19.757766,2
0.037,0.087,207.6196,-0.232,1.099,-0.033,277.2,-0.017,-0.058,0.073758,-0.065,7.4,0,17.27,0,31.536423,12.611904345,0.00117,104.0,0.4035,88.17,0.0,6105.6,0.00148,0.2622,0.0586,1,0,753.0,76.15,0.55,5795.0,19.2741411,2
0.11,0.106,67.78838,0.4,-1.34,0.035,112.6,-0.1,-0.105,0.318591,-0.009,46.58,1,2.46,0,10.709492,1.433769925,-0.00021,481.0,0.3534,58.99,0.021,1976.3,0.00026,0.2904,0.0003,1,0,1920.0,3209.29,1.268,6017.0,19.389588,0
