koi_dikco_msky,koi_dicco_msky,koi_fwm_srao,koi_max_mult_ev,koi_fwm_sdeco,koi_dikco_mra,koi_model_snr,koi_dicco_mdec,koi_ror,koi_prad,koi_dikco_mdec,koi_dicco_mra,koi_fpflag_ss,koi_dor,koi_fpflag_co,koi_ldm_coeff1,koi_max_sngle_ev,koi_period,koi_incl,koi_fwm_prao,koi_disposition_num
0.05,0.06,-0.36,35.96252,0.15,-0.02,47.1,0.05,0.028604,2.65,0.05,0.03,0,18.94,0,0.582,5.834264,6.252962249,89.68,0.00042,2
0.19,0.22,-0.03,31.066507,-0.36,-0.18,33.2,-0.21,0.034369,3.1,-0.08,-0.06,0,24.7,0,0.5746,8.468995,16.01308419,88.14,-2e-05,2
0.15,0.08,-0.25,61.372303,-0.17,0.121,80.0,0.07,0.03852,3.36,-0.09,0.037,0,53.95,0,0.421,14.0889,32.62876672,89.98,0.00079,2
0.65,0.55,-0.5,14.678595,-0.52,-0.35,19.1,-0.41,0.02432,2.12,-0.55,-0.36,0,89.4,0,0.421,6.9461374,91.7732862,89.61,0.00041,2
0.08,0.022,0.0,670.4895,-0.086,-0.021,696.5,0.012,0.103379,12.21,-0.077,-0.018,0,12.386,0,0.4096,58.764744,4.959319244,86.15,0.00011,2
6.51,6.45,7.84,39.745068,15.08,3.46,48.3,5.48,0.06584,6.54,5.52,3.39,1,2.22,1,0.4526,5.044661,2.701287801,62.69,-0.00608,0
0.19,0.15,0.83,26.501581,0.54,0.18,29.5,-0.12,0.019817,2.1,0.04,0.09,0,8.95,0,0.3511,4.435833,4.49876511,88.0,-0.00024,2
0.043,0.006,-0.059,509.4985,-0.022,-0.028,513.4,0.0,0.106953,12.42,0.033,0.006,1,23.98,0,0.3511,85.46643,19.651209505,88.27,0.00021,0
0.24,0.08,0.007,163.47614,-0.175,-0.16,166.7,0.08,0.024775,2.94,-0.18,-0.03,0,9.25,0,0.3928,46.475086,5.412203927,85.12,-5.2e-05,2
0.085,0.078,0.0,124.52492,-0.15,-0.049,141.1,-0.072,0.048175,5.5,-0.069,-0.029,0,29.47,0,0.4695,27.788597,41.43958662,89.31,-0.00022,2
0.17,0.09,0.32,36.34974,0.09,0.04,43.4,0.09,0.029305,2.52,-0.17,0.0,0,29.18,0,0.421,5.6967807,8.35389523,89.95,-0.00025,2
0.075,0.035,0.07,94.70979,0.07,-0.066,128.6,0.009,0.036796,4.43,0.036,-0.034,0,8.45,0,0.3288,9.387555,4.125543472,85.95,-0.00012,2
0.162,0.025,0.3386,1328.3038,0.317,0.032,1406.8,-0.007,0.117059,12.21,0.159,-0.024,0,9.571,0,0.4603,104.64681,2.816504904,89.37,-0.00034,2
3.353,3.258,3.101,193.4089,0.336,3.353,236.1,0.163,0.095386,7.34,0.066,3.254,1,13.12,1,0.5508,52.86124,33.93373447,86.45,-0.0247,0
0.3,0.27,-0.27,31.786789,0.07,-0.3,35.6,0.05,0.018878,1.89,-0.02,-0.27,0,10.71,0,0.3511,4.8750124,3.689920099,89.19,0.00017,2
0.07,0.1,0.03,58.259056,0.82,-0.045,71.1,0.03,0.02933,3.25,0.06,-0.097,0,10.19,0,0.4191,6.815371,4.431238488,87.72,0.0005,2
0.15,0.11,0.93,29.930164,0.88,0.14,37.9,-0.06,0.035628,3.95,-0.05,0.09,0,16.31,0,0.4191,5.2506146,11.37936986,86.8,-0.00041,2
0.18,0.27,0.09,41.269753,0.77,-0.18,48.2,0.2,0.03681,3.07,0.05,-0.18,0,47.7,0,0.5086,8.917681,26.39432897,89.28,0.00037,2
0.41,0.26,0.61,76.76887,0.0,0.37,88.4,0.02,0.023908,2.64,0.19,0.26,0,16.93,0,0.3928,18.771214,13.57078281,87.07,-4.4e-05,2
0.23,0.06,0.29,39.793564,-0.73,-0.09,47.1,0.04,0.01512,1.79,-0.21,0.03,0,8.62,0,0.3928,6.1814723,7.12594387,84.02,-6.9e-05,2
0.122,0.076,-0.054,1044.7283,-0.201,-0.105,835.6,-0.035,0.143936,15.03,-0.061,-0.068,1,27.99,0,0.3342,115.64278,7.442652004,89.72,0.0128,0
0.17,0.03,-0.67,28.122635,0.28,-0.07,28.9,-0.02,0.029758,2.0,0.15,0.02,0,42.62,0,0.6834,6.419572,16.38489988,90.0,0.0006,2
0.16,0.07,-0.34,41.450657,0.27,-0.02,38.7,-0.03,0.03209,2.16,0.16,0.06,0,29.84,0,0.6834,10.036489,7.8774163,89.92,0.00032,2
0.36,0.17,0.04,19.803268,-0.58,-0.07,21.7,0.17,0.029681,1.99,0.36,-0.01,0,71.53,0,0.6834,5.9903665,36.4454001,89.98,-0.00014,2
0.122,0.083,0.083,360.1958,-0.217,0.033,345.2,0.041,0.068178,6.02,-0.117,-0.072,0,9.7,0,0.4415,28.264866,3.728732147,86.7,0.00057,2
0.053,0.057,0.09,94.071846,0.31,-0.049,36.9,0.051,0.088069,7.51,-0.021,-0.025,0,54.7,0,0.398,22.598503,40.4195037,89.05,0.0006,1
0.08,0.33,-0.06,30.578562,0.46,0.05,38.9,0.27,0.032248,1.99,-0.06,0.19,0,7.38,0,0.6215,4.251499,2.243380573,82.88,-0.00024,2
0.101,0.012,0.091,691.1691,-0.188,-0.026,745.2,0.004,0.111248,11.23,-0.098,-0.011,1,13.012,0,0.3556,97.352005,10.405998015,88.57,-0.00025,0
0.41,0.061,0.16,63.58795,-0.45,0.357,82.4,0.05,0.027998,2.34,0.2,0.027,0,8.86,0,0.5746,6.0310416,2.337437946,88.19,6e-05,2
0.39,0.71,-0.1,9.1666,-1.4,0.08,13.7,-0.49,0.232818,19.45,-0.38,-0.51,0,28.8,0,0.5746,3.2751372,7.2406612,87.62,0.00016,1
0.3,0.05,-0.6,7.4337807,-0.3,-0.11,8.7,-0.05,0.004612,0.55,-0.3,0.01,0,6.65,0,0.3928,3.8943021,3.43591631,84.62,1.2e-05,1
0.69,0.066,0.63,62.376225,0.92,0.29,71.0,-0.03,0.051287,2.65,0.628,0.059,0,28.2,0,0.3156,11.461336,11.59822233,88.62,-0.00029,2
0.181,0.052,0.016,210.22159,-0.099,-0.009,221.1,-0.04,0.049152,5.31,-0.181,-0.033,0,11.37,0,0.3342,20.537346,6.575315881,88.03,0.00044,2
0.134,0.085,0.234,234.95987,0.323,0.008,312.1,-0.065,0.051358,4.86,-0.134,-0.054,0,6.66,0,0.4695,24.639503,7.275040844,85.29,0.00066,2
0.36,0.26,0.78,28.490973,0.05,0.28,37.1,-0.17,0.031585,1.93,-0.23,0.2,0,55.02,0,0.4639,6.437265,19.27153892,89.97,-0.00076,2
0.28,0.25,-0.42,21.658537,0.02,0.17,30.3,-0.23,0.031153,1.91,-0.23,0.11,0,45.9,0,0.4639,5.446764,10.06524317,89.22,0.00053,2
0.18,0.17,0.13,31.608551,0.39,-0.16,35.8,-0.04,0.032536,2.66,0.09,-0.17,0,13.07,0,0.398,5.6057496,12.3935651,86.13,0.00019,2
0.22,0.23,0.19,65.59482,0.01,0.21,83.7,-0.2,0.025934,2.87,-0.03,0.12,0,28.2,0,0.3928,16.554466,43.84439721,88.27,0.0002,2
5.364,5.172,-8.51,32.72262,0.75,-5.301,39.0,0.825,0.243351,21.55,0.823,-5.106,1,2.19,1,0.5086,5.0937037,3.341913228,56.44,0.00348,0
0.96,0.82,0.09,45.885685,-1.31,-0.006,103.6,-0.809,0.305244,32.43,-0.96,0.1,0,2.38,1,0.3858,5.3061833,1.626630225,58.03,-2e-05,0
0.104,0.05,0.42,48.726124,0.32,0.02,64.5,0.05,0.026533,3.12,0.1,-0.02,0,7.088,0,0.3288,6.3430967,2.711504086,89.81,-0.00037,2
0.2,0.09,0.07,40.04205,0.81,0.07,51.5,0.07,0.028255,3.32,0.19,0.05,0,14.003,0,0.3288,6.1683164,7.21203748,89.95,-0.00011,2
0.583,0.61,-0.0005,19.2544115,-0.034,-0.004,11.2,0.0,0.019561,1.88,-0.017,0.0,0,43.54,0,0.3854,5.5897505,14.1798187,89.95,0.0,0
0.106,0.17,1.18,39.867977,0.22,-0.097,47.6,0.09,0.030119,2.59,0.04,-0.148,0,24.47,0,0.4966,5.7419868,8.47237911,89.95,-0.00048,2
0.46,0.53,-0.06,15.139797,0.26,0.09,20.1,0.53,0.027422,2.36,0.46,0.0,0,93.71,0,0.4966,6.335456,60.4189369,89.94,0.0007,2
0.037,0.087,-0.232,207.6196,1.099,-0.033,277.2,-0.058,0.073758,7.4,-0.017,-0.065,0,17.27,0,0.4035,31.536423,12.611904345,88.17,0.00117,2
