koi_dikco_msky,koi_dicco_msky,koi_fwm_srao,koi_max_mult_ev,koi_fwm_sdeco,koi_dikco_mra,koi_model_snr,koi_dicco_mdec,koi_ror,koi_prad,koi_dikco_mdec,koi_dicco_mra,koi_fpflag_ss,koi_dor,koi_fpflag_co,koi_ldm_coeff1,koi_max_sngle_ev,koi_period,koi_incl,koi_fwm_prao,koi_disposition_num
0.34,0.43,-0.29,19.510805,-0.52,0.22,23.1,0.34,0.011014,1.01,0.25,0.26,0,12.13,0,0.4603,3.4796474,4.79029482,87.83,3.3e-05,2
0.16,0.19,0.61,21.972872,0.22,-0.16,25.2,0.01,0.024605,2.45,0.05,-0.19,0,35.9,0,0.4341,6.286363,38.6715843,88.77,-0.00028,2
0.22,0.14,0.33,23.312294,0.17,-0.12,27.2,-0.08,0.016452,1.8,-0.18,-0.11,0,7.58,0,0.3511,4.563028,8.32651854,84.08,-4e-05,2
0.39,0.38,-0.62,22.891153,0.61,0.27,27.5,0.26,0.014566,1.75,0.28,0.28,0,15.353,0,0.4603,5.088051,5.53533152,89.81,0.00016,2
1.07,1.06,1.3,9.14335,1.6,0.96,11.6,-0.47,0.01301,1.56,-0.48,0.95,0,41.7,0,0.4603,4.947707,16.7261969,89.32,-0.00024,2
0.35,0.28,0.23,22.406319,-0.17,0.23,34.0,-0.14,0.016798,2.18,-0.26,0.25,0,37.29,0,0.3447,5.5378304,21.58752788,89.99,0.0,2
0.46,0.24,-0.38,18.972502,-0.51,-0.28,23.4,0.07,0.015786,1.23,-0.37,0.23,0,25.7,0,0.5684,3.980435,3.757294695,88.7,-4e-05,2
0.59,0.45,0.91,17.39639,0.64,-0.1,24.4,-0.44,0.010816,1.79,-0.58,0.02,0,7.719,0,0.4046,4.64141,3.2828024,88.82,-0.000127,2
0.24,0.27,-0.84,16.698652,1.14,0.02,19.8,0.27,0.011202,1.38,0.24,0.03,0,10.2,0,0.3511,4.009866,4.64495172,88.31,0.00012,2
1.15,1.41,-0.92,12.756576,-1.36,-0.52,17.9,-1.27,0.012198,0.7,-1.03,-0.61,0,32.9,0,0.4228,4.6255317,16.6671415,89.23,0.00017,1
0.29,0.35,0.11,17.792856,1.4,0.25,22.1,0.07,0.23474,27.45,0.15,0.34,0,26.2,0,0.3729,4.376047,16.48686712,87.38,-0.00024,2
0.62,0.32,-1.11,23.684656,-0.69,-0.2,28.9,-0.23,0.016076,1.46,-0.59,0.23,0,13.19,0,0.49,5.425399,2.685054445,86.69,0.00016,2
0.33,0.44,-0.46,18.93551,0.0,0.32,22.4,0.15,0.016086,1.71,0.08,0.42,0,17.48,0,0.3026,4.583928,16.8600805,87.77,0.0001,2
0.16,0.2,-0.47,28.826073,0.88,0.1,35.2,-0.18,0.008754,1.23,-0.12,0.08,0,4.546,0,0.3819,5.1628966,1.54320541,87.26,3.8e-05,2
0.28,0.1,-0.39,22.268452,0.84,-0.21,27.8,0.01,0.027578,2.49,-0.19,0.1,0,66.49,0,0.582,6.1370068,49.5004725,89.86,9e-05,2
0.46,0.08,-0.29,24.047394,-0.24,-0.33,28.1,-0.08,0.02122,1.92,-0.32,-0.01,0,16.44,0,0.582,5.2170234,6.47539108,88.31,0.0,2
0.52,0.24,-0.16,17.46432,-0.66,-0.27,21.8,-0.23,0.027757,2.51,-0.45,0.06,0,42.8,0,0.582,4.8221455,16.85825609,88.98,-0.0001,2
0.099,0.012,0.1456,1487.8179,0.0619,0.041,222.3,0.006,0.377855,48.73,0.09,0.011,1,4.01,0,0.319,113.073105,3.132604547,71.84,-4e-05,0
0.13,0.19,0.37,25.901522,-0.24,0.05,29.3,0.11,0.016815,1.48,0.12,0.16,0,11.283,0,0.5746,4.5250044,2.949029106,89.77,-0.00019,2
0.12,0.12,-0.36,22.91786,-0.19,0.04,25.9,0.0,0.018061,2.01,0.12,0.12,0,60.62,0,0.4096,5.9587154,37.8658964,89.83,0.00014,2
0.348,0.099,-0.45,56.046688,-0.06,0.053,74.3,0.093,0.026057,2.42,0.344,-0.034,0,18.82,0,0.582,7.1707487,8.30865307,88.99,0.00031,2
0.18,0.14,0.67,23.378767,-0.54,0.07,32.3,0.06,0.01206,1.83,0.17,0.13,0,14.769,0,0.4369,6.9109793,11.93205399,89.52,0.0,2
0.34,0.27,-0.44,19.102755,0.23,-0.34,25.8,-0.07,0.0105,1.59,0.04,-0.27,0,11.7,0,0.4369,4.03615,7.54235832,88.44,0.0,2
0.42,0.24,-0.13,20.093796,0.67,-0.34,26.1,-0.11,0.012294,2.03,-0.24,-0.22,0,10.55,0,0.4046,4.6452513,5.02818253,88.37,1e-05,2
0.33,0.23,-0.07,22.647596,-0.56,0.02,27.2,-0.16,0.010464,1.73,-0.33,0.16,0,5.301,0,0.4046,4.763204,1.897828815,87.55,-2e-06,2
0.1,0.23,-0.09,19.41287,-1.2,0.03,22.6,0.2,0.016923,1.87,0.1,0.11,0,15.99,0,0.3511,3.9770782,10.62788695,88.31,-3e-05,2
0.46,0.36,-0.07,14.662136,-0.12,-0.46,8.6,0.03,0.023039,13.98,0.01,-0.35,0,29.1,0,0.2888,4.19388,34.135676,89.83,-4e-06,1
0.2,0.44,0.25,31.016354,0.34,-0.07,35.3,-0.4,0.019518,1.6,-0.19,0.18,0,8.156,0,0.5508,4.6572266,1.104462494,88.94,-0.00039,2
0.28,0.17,0.22,17.813854,-0.41,-0.02,15.9,-0.17,0.010904,1.6,-0.28,-0.02,0,10.61,0,0.2758,3.547746,4.89336495,88.82,0.0,2
0.45,0.38,0.16,18.547466,-0.32,-0.01,21.4,0.37,0.016441,1.64,0.45,-0.08,0,26.239,0,0.3511,5.3788724,11.17392077,89.94,-4e-05,2
0.15,0.27,2.26,14.200886,-0.85,-0.01,17.6,-0.24,0.02592,2.64,-0.15,-0.14,0,56.2,0,0.4096,4.235796,31.0325991,89.38,-0.0016,2
0.25,0.2,0.19,17.206907,-0.14,-0.24,46.1,-0.08,0.016697,1.03,0.09,-0.19,1,3.65,0,0.4768,3.7857153,0.512407185,85.27,-0.00024,0
0.24,0.19,0.36,21.589361,0.26,-0.21,24.2,0.05,0.032359,3.03,0.11,-0.19,1,9.26,0,0.5167,3.8778038,4.150297119,83.98,-0.00024,0
0.56,0.57,0.4,12.109904,-1.1,-0.34,15.3,-0.4,0.01076,1.28,-0.44,-0.4,0,14.439,0,0.4695,3.2251508,5.89661966,89.84,-7e-05,2
0.32,0.13,-0.24,25.621601,0.2,-0.09,28.4,0.12,0.038586,3.13,0.31,0.06,0,27.2,0,0.4966,6.289584,33.4178173,88.08,0.00014,2
0.24,0.15,0.29,27.193575,0.14,0.07,23.2,-0.15,0.009704,1.44,-0.23,0.03,0,2.03,0,0.3469,4.0746956,2.053341891,61.5,-1.6e-05,2
0.25,0.23,0.7,25.147776,0.52,0.25,33.6,-0.03,0.029059,3.21,-0.06,0.23,0,47.5,0,0.3661,7.950649,56.7769831,89.15,-0.00079,2
0.19,0.15,-0.11,26.569523,-0.21,0.0,23.8,-0.12,0.030522,2.14,-0.19,-0.09,0,36.6,0,0.6834,6.344369,18.78429232,88.97,0.00029,2
1.12,1.1,1.0,11.107825,-0.2,0.88,14.9,0.57,0.007519,1.14,0.69,0.95,0,7.44,0,0.4369,3.3787332,3.61460279,86.02,0.0,2
1.0,0.96,-0.5,21.455776,0.45,-1.0,25.5,-0.24,0.010455,1.87,-0.12,-0.93,0,9.49,0,0.3236,5.246926,13.15140223,84.73,5.2e-05,2
0.29,0.45,0.04,22.479414,-0.59,0.25,30.1,-0.43,0.286358,29.33,-0.15,0.13,0,5.88,0,0.3511,6.129146,18.5084526,77.63,3e-05,2
14.1,14.3,5.59,29.119204,6.99,13.0,26.2,5.74,0.009635,2.05,5.6,13.1,1,22.4535,1,0.3268,11.943128,7.47763833,89.97,-0.000474,0
0.22,0.2,0.51,19.753057,0.21,0.09,25.7,-0.19,0.019889,2.35,-0.2,-0.06,0,46.32,0,0.4695,6.3307304,42.1918331,89.92,-0.00015,2
0.07,0.19,0.08,21.66317,-0.18,0.04,24.0,0.01,0.014249,1.48,-0.06,0.19,0,5.89,0,0.4096,8.617589,3.73090026,81.98,-6e-05,2
0.583,0.61,-0.0005,19.2544115,-0.034,-0.004,3.7,0.0,0.015395,1.47,-0.017,0.0,0,200.5,0,0.3731,5.5897505,86.130534,89.95,0.0,1
0.22,0.38,-0.32,20.83751,1.13,0.06,22.2,-0.38,0.012361,2.33,-0.21,-0.01,0,10.49,0,0.6538,3.7519515,2.787874175,89.16,0.000252,2
0.53,0.52,0.33,24.713478,-0.28,0.19,37.8,-0.49,0.018389,2.39,-0.49,0.2,0,43.624,0,0.3447,6.326053,37.9962369,89.97,0.0,2
0.24,0.99,0.69,21.742273,2.29,-0.04,26.1,-0.98,0.025894,2.51,0.24,0.13,0,43.7,0,0.4603,4.402822,8.46354384,89.49,0.00023,1
0.3,0.33,-0.12,54.0081,0.43,0.26,64.1,0.0,0.020998,2.79,0.14,0.33,0,27.2,0,0.3447,8.936768,17.23232894,89.17,-1e-05,2
0.4,0.35,-0.57,17.590773,0.24,-0.27,20.8,0.26,0.026795,2.55,0.29,-0.23,0,26.04,0,0.3928,5.5279098,28.5057217,88.47,0.0003,2
0.37,0.48,1.28,19.289253,-0.21,0.01,23.1,0.47,0.022119,2.49,0.37,0.09,0,47.0,0,0.3147,7.4141464,53.5991459,89.2,-0.00067,2
0.46,0.38,-0.52,20.33015,0.25,-0.03,22.4,0.38,0.018826,1.82,0.46,-0.05,0,64.9,0,0.4603,4.489195,16.4581861,89.9,0.00053,2
0.583,0.61,-0.0005,19.2544115,-0.034,-0.004,23.0,0.0,0.021076,2.39,-0.017,0.0,0,15.46,0,0.392,5.5897505,191.86419296,88.5,0.0,1
0.583,0.61,-0.0005,19.2544115,-0.034,-0.004,23.0,0.0,0.021076,2.39,-0.017,0.0,0,15.46,0,0.392,5.5897505,13.72549689,88.5,0.0,1
0.583,0.61,-0.0005,19.2544115,-0.034,-0.004,8.4,0.0,0.009675,2.38,-0.017,0.0,0,95.0,0,0.3179,5.5897505,176.331289,89.95,0.0,1
0.13,0.22,-0.7,23.578821,-0.1,0.13,28.9,-0.21,0.00636,0.83,0.01,-0.08,0,3.287,0,0.4554,4.3001523,0.693842661,86.59,4e-05,2
0.23,0.19,-0.72,18.74674,-0.25,0.16,24.7,0.16,0.028709,2.95,0.16,0.11,0,96.4,0,0.3588,7.3958745,83.4887405,89.75,0.00066,2
0.28,0.25,0.16,17.713583,-0.4,0.18,20.5,0.22,0.028882,2.96,0.21,0.12,0,69.9,0,0.3588,4.789119,34.0607677,89.36,-0.00014,2
0.49,0.55,-0.24,31.477276,-0.68,-0.46,53.4,0.41,0.0124,4.27,0.18,-0.37,0,4.4,0,0.4949,6.260169,6.2141496,84.74,3.7e-05,1
0.46,0.51,0.34,22.957582,1.06,-0.28,27.3,0.48,0.01735,2.59,0.36,-0.16,0,70.1,0,0.3958,5.9804325,31.5888979,89.84,-0.00016,2
0.98,1.09,-0.58,20.807398,-0.95,0.4,25.2,1.07,0.018577,2.81,0.89,0.24,0,26.6,0,0.3534,6.6263766,59.9809868,88.03,0.00011,2
0.1,0.19,0.6,14.109142,-1.3,0.08,19.3,0.19,0.011447,1.73,0.06,0.0,0,21.3,0,0.3534,5.7379475,25.7457957,88.22,-9e-05,2
0.38,0.3,-0.29,24.496864,-0.03,-0.35,27.8,-0.03,0.0242,2.43,0.16,-0.29,0,15.184,0,0.4035,5.217934,11.92979348,89.99,-7e-05,2
0.26,0.17,0.3,29.627333,-0.3,-0.26,117.2,-0.04,0.047823,2.45,-0.04,-0.17,0,24.7,0,0.3251,15.26241,17.65737838,88.24,-7e-05,1
0.25,0.26,1.09,27.19655,0.12,0.08,31.6,-0.26,0.019041,2.11,-0.23,0.01,0,8.5,0,0.5256,4.7963004,4.3394569,84.46,-0.00032,2
0.13,0.38,-0.55,23.920094,-0.98,0.12,33.3,-0.18,0.035061,1.66,-0.05,0.33,0,30.7,0,0.2405,4.592119,2.852348262,89.45,-0.00021,2
0.52,0.77,0.01,18.524363,0.23,-0.44,22.0,-0.2,0.028896,3.93,-0.26,-0.74,0,34.7,0,0.4785,6.2709055,65.6480892,88.43,0.00061,2
1.1,1.0,0.03,19.214346,-0.06,0.26,82.1,1.0,0.211178,39.16,1.0,0.21,0,3.94,0,0.2734,6.900893,102.653705,72.52,0.0,0
0.12,0.08,-0.79,15.237783,0.53,0.07,19.1,0.07,0.025764,2.54,0.09,-0.01,0,27.3,0,0.4415,4.062199,14.83340944,89.16,0.00075,2
13.205,13.042,-7.83,18.982355,-1.64,-13.191,25.0,-0.625,0.004734,0.98,-0.623,-13.027,0,2.983,1,0.3098,5.0824904,0.987338654,89.97,0.000164,0
0.39,0.1,-0.89,23.235922,-0.05,-0.13,25.7,-0.1,0.034853,3.87,-0.37,0.0,0,182.9,0,0.4695,7.572211,101.1323475,89.98,0.0014,2
0.28,0.4,-0.05,49.504898,-0.92,-0.24,83.9,-0.3,0.025677,2.83,-0.14,-0.27,0,1.3387,1,0.3928,17.080368,1.811460943,43.48,0.0,0
0.32,0.26,0.43,16.923792,0.06,0.2,19.3,0.19,0.020172,2.14,0.26,0.18,0,56.52,0,0.3661,4.310198,16.07673148,89.89,-0.00017,2
0.28,0.2,-0.12,24.992212,-0.36,-0.24,28.5,0.03,0.025771,2.67,-0.14,-0.2,0,22.0,0,0.3447,5.92889,18.87058705,87.72,-0.00011,2
0.87,0.84,0.47,14.530282,-0.51,-0.76,16.3,-0.4,0.022996,1.76,-0.42,-0.74,0,84.4,0,0.4767,5.5062394,22.1334224,89.98,-0.00041,2
0.24,0.11,-0.07,22.688374,-0.13,0.15,25.4,0.04,0.017456,2.05,0.19,0.1,0,20.762,0,0.3239,6.373613,17.1369408,89.92,7e-05,2
0.49,0.39,-0.9,10.90227,0.3,-0.46,13.4,0.01,0.010567,1.4,0.17,-0.39,0,44.63,0,0.3447,3.2941353,26.6951944,89.83,9e-05,2
0.08,0.07,0.36,25.244616,-0.08,0.07,25.0,0.07,0.019674,2.53,-0.05,0.01,0,10.86,0,0.3511,4.7499237,7.72085047,84.91,-9e-05,2
0.276,0.137,-0.21,92.90064,0.15,-0.274,112.5,0.074,0.032005,2.0,0.031,-0.115,0,18.129,0,0.4639,11.1276245,6.312508525,89.91,0.00023,2
0.24,0.23,0.02,34.077755,-0.63,0.2,23.3,0.18,0.027507,3.02,0.14,0.14,0,13.19,0,0.5324,6.005804,4.19577385,87.73,-0.00043,2
0.47,0.41,0.7,23.60095,0.85,0.05,27.2,0.41,0.011502,1.64,0.47,0.06,0,10.07,0,0.3874,4.4081764,7.1329472,86.52,-9.9e-05,2
0.62,0.67,1.01,23.89117,0.33,-0.47,29.6,-0.49,0.012857,1.84,-0.4,-0.46,0,13.21,0,0.3874,4.777101,8.91901228,87.32,-0.000182,2
0.97,0.63,-0.08,20.322367,-1.28,-0.19,22.8,-0.62,0.010314,2.82,-0.95,-0.04,0,5.06,0,0.5102,4.362297,4.5620407,79.48,-6e-06,2
0.49,0.49,0.42,18.528349,-0.91,-0.27,24.5,-0.38,0.011117,1.32,-0.41,-0.31,0,11.18,0,0.4035,3.9403834,7.5966998,86.28,-0.000123,1
3.19,3.22,2.97,20.149292,0.85,3.09,20.5,0.83,0.011196,1.33,0.78,3.11,0,5.97,1,0.4035,4.9407887,2.392630668,81.24,-0.000379,0
0.33,0.25,-0.75,19.35162,-0.29,0.21,25.0,-0.15,0.021247,2.89,-0.25,0.2,0,8.48,0,0.4191,4.521205,17.6700291,83.69,0.00018,2
0.583,0.61,-0.0005,19.2544115,-0.034,-0.004,23.0,0.0,0.021076,2.39,-0.017,0.0,0,15.46,0,0.392,5.5897505,15.40877383,88.5,0.0,1
0.24,0.09,0.16,20.233814,-0.45,-0.2,24.3,0.05,0.016727,1.68,0.13,-0.08,0,105.58,0,0.3556,7.0949097,108.593113,90.0,-8e-05,2
0.17,0.15,-0.83,19.336584,-0.08,-0.16,21.8,0.13,0.031224,4.22,0.06,-0.07,0,12.99,0,0.4554,4.459815,19.9865916,85.75,0.00057,2
0.9,0.82,0.2,11.8480015,-0.5,-0.9,14.0,0.18,0.018511,2.5,-0.01,-0.8,0,17.59,0,0.4554,3.677639,12.12580644,87.38,-5e-05,2
0.2,0.12,-0.36,17.667221,-0.49,-0.16,23.9,0.07,0.021656,2.81,-0.13,-0.1,0,82.6,0,0.4695,7.2662935,76.421501,89.99,0.00031,2
0.19,0.28,-0.1,20.353767,-0.38,-0.12,29.7,0.27,0.017091,2.22,0.15,-0.08,0,53.86,0,0.3447,6.859803,56.2590881,89.97,0.0,2
0.56,0.09,0.2,25.171762,-0.08,0.33,25.2,0.04,0.01543,0.86,0.45,0.08,0,10.61,0,0.3156,4.8327274,1.646801683,89.3,1e-05,2
0.8,0.57,1.3,14.822822,-0.43,0.32,18.2,0.56,0.010833,1.23,0.74,0.11,0,10.26,0,0.4695,3.653862,3.78861833,88.98,-0.00016,2
0.41,0.47,-0.27,16.679808,0.65,-0.41,18.6,-0.03,0.015375,1.25,-0.01,-0.47,0,25.73,0,0.6385,4.1967797,10.45839865,89.98,0.00014,2
0.16,0.25,-0.36,17.391918,-0.6,0.16,21.3,0.13,0.012695,1.56,-0.03,0.21,0,78.7,0,0.3661,3.8823845,21.1033014,89.91,6e-05,2
0.49,0.46,0.56,17.0924,1.12,-0.44,21.6,-0.17,0.020097,2.37,-0.21,-0.43,0,99.39,0,0.3729,5.987662,95.6114617,89.97,-0.00031,2
0.583,0.61,-0.0005,19.2544115,-0.034,-0.004,23.0,0.0,0.021076,2.39,-0.017,0.0,0,15.46,0,0.392,5.5897505,58.35512552,88.5,0.0,1
2.3,4.7,2.82,15.846598,0.08,-1.7,10.8,0.72,0.014218,1.55,1.5,-4.7,0,10.76,0,0.4035,5.16167,1.204686597,88.25,0.000232,1
1.59,1.57,0.19,12.407433,-1.6,1.48,15.9,0.44,0.011851,1.69,0.57,1.5,0,17.2,0,0.3874,4.375604,11.8984948,87.21,-2e-05,2
0.57,0.52,0.09,25.366087,-0.05,0.53,20.9,-0.12,0.012395,1.44,-0.21,0.51,0,25.0,0,0.4096,5.755691,23.1274171,88.31,-1.6e-05,2
0.48,0.21,-0.88,30.17181,0.66,-0.32,35.4,-0.19,0.026773,1.69,0.35,-0.09,0,27.0,0,0.6858,5.1789417,5.132486123,89.54,0.00081,2
0.19,0.11,-0.06,25.702608,-0.23,0.07,32.7,0.05,0.025421,2.12,0.18,0.11,0,18.88,0,0.4966,5.924187,8.77997349,88.54,-5e-05,2
0.18,0.16,0.26,26.954376,0.36,-0.06,30.2,0.1,0.044886,5.14,0.17,-0.13,0,42.1,0,0.319,9.101651,57.6896212,88.74,0.00015,2
0.38,0.45,0.12,21.737331,-0.47,0.37,25.3,0.09,0.015773,1.76,0.1,0.44,0,24.97,0,0.3588,4.006625,10.66489514,89.29,-4e-05,2
0.54,0.24,-0.32,21.682825,0.94,-0.3,25.1,-0.2,0.015347,1.65,-0.45,-0.13,0,13.8,0,0.5167,4.0672555,5.1233204,88.72,8e-05,2
0.325,0.393,0.216,361.97925,-0.178,0.325,362.1,-0.056,0.049237,5.81,-0.017,0.389,0,9.9507,0,0.4191,31.253706,3.573202801,89.69,-0.00089,2
0.33,0.33,-0.71,14.842745,-0.42,-0.29,19.5,-0.15,0.033006,3.36,-0.17,-0.3,0,126.93,0,0.4695,6.6562586,61.6174528,89.96,0.0008,2
0.06,0.04,-0.75,20.40939,0.0,0.05,27.8,-0.01,0.031817,5.09,-0.04,0.04,0,21.5,0,0.4554,4.947737,24.3398202,87.53,-0.00021,2
0.42,0.42,-0.07,15.025204,-0.82,0.4,17.6,-0.17,0.019138,2.31,-0.12,0.39,0,32.4,0,0.3288,3.7747808,7.16520428,89.75,0.00019,2
0.28,0.24,0.33,22.947691,-0.59,-0.09,25.1,-0.17,0.021444,1.94,-0.26,-0.18,0,3.55,0,0.4415,4.076174,1.755843555,75.45,0.0,2
0.4,0.43,0.41,22.708656,-0.12,0.11,27.6,-0.22,0.014547,2.34,0.38,-0.37,0,9.931,0,0.3279,4.41703,5.18560081,89.93,0.000116,2
0.06,0.17,-0.87,19.984657,-0.72,-0.05,23.2,-0.17,0.020478,2.45,0.02,-0.04,0,28.2,0,0.3511,5.3136144,33.4698571,88.22,0.00036,2
0.45,0.31,0.07,19.004755,0.23,0.38,22.3,0.27,0.012286,1.33,0.24,0.15,0,26.74,0,0.4035,4.5782666,11.89520436,89.86,4e-05,2
0.38,0.16,0.3,17.859703,0.43,0.22,36.0,0.16,0.016977,1.57,0.31,-0.01,0,6.41,0,0.5746,3.394149,1.025857984,83.02,-3.3e-05,2
0.16,0.26,-0.21,20.543076,1.52,-0.12,22.8,0.21,0.01622,1.73,0.1,-0.15,0,16.3947,0,0.5256,4.516484,5.60013327,89.84,9e-05,2
0.55,0.6,-0.34,19.676186,-0.22,0.54,22.3,0.18,0.024063,2.42,0.05,0.57,0,43.08,0,0.4035,5.2172236,25.2034128,89.78,0.00016,2
0.89,0.23,0.52,17.095778,0.93,0.32,31.2,0.1,0.025766,1.37,0.83,0.21,0,4.75,0,0.2405,3.907698,1.615357809,78.69,-0.00014,2
0.11,0.345,-0.9,127.45385,0.281,-0.056,145.9,-0.21,0.034594,4.59,-0.09,0.277,0,15.726,0,0.4096,13.931758,5.640676975,89.88,-0.00167,2
0.26,0.24,0.32,27.369154,0.08,-0.08,31.6,0.19,0.034909,4.0,0.25,-0.15,0,24.6,0,0.319,6.3971977,25.5638626,88.02,4e-05,2
0.29,3.22,1.21,28.772718,-0.55,0.27,35.3,2.45,0.021665,20.75,0.12,-2.09,0,11.37,0,0.3978,5.8632035,6.78341325,86.65,0.00029,1
0.287,0.146,0.06,42.359932,0.02,-0.287,54.1,0.002,0.025596,1.6,-0.01,-0.146,0,28.87,0,0.4639,7.671974,12.7945474,89.64,-8e-05,2
0.14,0.17,0.31,19.70963,0.27,-0.14,26.0,0.04,0.031124,3.44,0.01,-0.17,0,20.42,0,0.5256,6.0824323,42.4269647,87.3,-0.00022,2
0.07,0.2,1.07,20.247503,0.19,-0.02,28.4,0.19,0.012886,1.5,-0.07,-0.03,0,5.958,0,0.4191,3.6451077,1.434745129,88.96,-0.00019,2
0.583,0.61,-0.0005,19.2544115,-0.034,-0.004,1.8,0.0,0.012454,1.39,-0.017,0.0,0,11.88,0,0.3085,5.5897505,6.95787,89.38,0.0,1
0.4,0.4,0.9,20.456705,1.88,0.36,24.5,0.09,0.012619,1.6,0.17,0.39,0,8.51,0,0.4191,4.4638443,3.28192056,88.5,-0.00012,2
0.23,0.32,0.12,18.74572,0.42,0.15,22.6,-0.27,0.014724,1.87,-0.18,0.16,0,20.0,0,0.4191,3.5372064,12.51610549,89.93,3e-05,2
1.0,1.13,-0.09,23.081842,0.58,0.7,21.0,0.77,0.010028,0.92,0.71,0.83,0,9.76,0,0.4603,3.965763,5.45298742,84.83,-1.2e-05,2
0.88,0.76,0.21,18.000952,0.8,-0.8,18.6,0.44,0.007398,0.68,0.38,-0.61,0,9.64,0,0.4603,3.7622979,3.26662733,86.3,-2.4e-05,2
0.51,0.36,-0.7,17.457829,0.56,-0.37,20.8,-0.35,0.011751,0.79,-0.35,-0.1,0,14.62,0,0.6414,3.625825,4.45743267,89.31,7e-05,2
0.64,0.61,-0.64,18.685446,0.71,-0.21,16.5,0.61,0.015134,1.3,0.61,-0.09,0,11.84,0,0.5086,4.2316685,2.81814715,88.52,0.00021,2
0.583,0.61,-0.0005,19.2544115,-0.034,-0.004,7.3,0.0,0.012848,1.05,-0.017,0.0,0,25.3,0,0.4707,5.5897505,9.4907638,89.38,0.0,1
0.66,0.62,0.57,16.842896,0.2,-0.62,18.3,-0.25,0.012566,1.08,-0.25,-0.57,0,4.407,0,0.5086,3.5294442,0.76196247,85.82,-9e-05,1
8.729,8.504,-14.807,763.6449,56.595,-2.515,184.3,8.13,0.061323,5.31,8.359,-2.496,1,2.0809,1,0.2859,93.36122,1.824649,64.33,0.06048,0
0.44,0.33,-1.01,23.108788,0.85,-0.04,27.5,0.32,0.009889,1.37,0.44,0.05,0,8.83,0,0.4191,4.2650113,2.832647249,87.57,0.0001,2
0.06,0.29,-0.18,22.710674,0.54,0.03,29.8,-0.28,0.008108,1.24,-0.05,0.05,0,3.83,0,0.4554,4.7086787,3.70063251,79.31,1.5e-05,2
0.57,0.66,-0.15,18.521324,1.51,-0.26,22.0,-0.5,0.009264,1.2,-0.5,-0.42,0,10.1,0,0.3447,4.80524,3.93083997,88.74,5e-06,2
0.14,0.28,-0.77,15.944297,-0.62,-0.09,18.6,-0.15,0.010695,1.39,-0.11,-0.24,0,16.62,0,0.3447,3.318893,7.63008196,87.84,8.5e-05,2
0.72,0.45,-0.49,17.879112,-0.68,-0.4,20.6,-0.43,0.014927,1.51,-0.6,-0.15,0,45.1,0,0.4526,3.992726,16.22378479,89.48,7e-05,2
0.92,0.7,2.32,21.394451,0.01,0.23,23.6,-0.65,0.021757,1.94,-0.89,0.25,0,21.72,0,0.5684,4.5232353,9.76293284,88.68,-0.00084,2
0.38,0.33,2.02,16.360394,0.36,0.37,19.1,0.08,0.018557,2.06,0.08,0.32,0,76.2,0,0.3147,6.6886973,58.601926,89.71,-0.00074,2
0.65,0.8,-0.2,23.225899,-0.01,-0.65,30.5,0.13,0.01637,2.26,0.04,-0.79,0,15.94,0,0.2923,7.0536795,25.0823402,86.89,1e-05,2
0.26,0.21,0.05,20.047245,-0.13,0.01,23.8,-0.2,0.024047,3.37,-0.26,0.07,0,62.1,0,0.4133,7.5669074,78.0998908,89.51,-2e-05,2
0.52,0.48,-0.67,20.392012,0.03,-0.11,24.6,-0.48,0.012297,1.22,-0.51,0.05,0,14.52,0,0.3447,3.6595292,4.27103727,89.92,8e-05,2
1.63,1.55,0.2,13.706386,-0.67,-0.79,13.7,-1.41,0.006951,0.64,-1.43,-0.64,0,10.53,0,0.4603,6.6511064,4.27226421,85.95,-2.1e-05,2
1.8,1.7,-1.64,8.249636,-0.04,-1.5,6.6,0.96,0.004065,0.37,0.89,-1.4,0,7.24,0,0.4603,3.4573512,2.19251903,85.12,2.8e-05,1
0.43,0.25,-0.88,18.387432,0.06,-0.03,12.8,0.25,0.013699,1.43,0.43,0.02,0,9.47,0,0.4096,6.1743555,3.53232429,88.19,0.00015,2
4.455,3.941,-7.8505,1196.2297,1.1236,-4.418,181.6,0.312,0.07857,12.36,0.574,-3.929,1,13.37,1,0.2938,262.68582,15.03946326,86.13,0.04,0
0.185,0.594,0.185,224.04196,-0.219,-0.184,101.1,0.166,0.388365,37.24,0.019,-0.571,1,7.45,0,0.4415,27.310488,4.702495974,79.93,0.00388,0
0.25,0.27,0.25,25.988503,0.27,0.07,22.2,-0.27,0.031855,3.41,-0.24,0.0,0,10.26,0,0.3928,6.94199,10.44087398,84.89,-7e-05,2
0.19,0.16,-0.7,7.6975045,1.0,-0.01,10.2,-0.15,0.245914,13.72,-0.19,0.04,0,40.0,0,0.5738,3.2105885,39.7557642,88.25,0.00047,1
0.67,0.64,0.48,13.782243,0.45,-0.66,17.5,0.11,0.016888,0.94,0.07,-0.63,0,26.33,0,0.5738,3.8270483,10.27127527,89.9,-0.00016,1
0.62,0.74,0.24,16.728004,0.59,0.02,12.4,-0.74,0.008561,1.09,-0.62,0.0,0,19.69,0,0.3511,4.9831862,12.5722897,89.27,-2.6e-05,2
0.92,0.8,0.38,15.720275,0.04,0.78,18.7,0.56,0.014897,1.5,0.5,0.57,0,59.6,0,0.4526,4.994361,40.8366307,89.65,-4e-05,2
